Country_Name, GDP_per_capita, Net_National_Income_per_capita
North Macedonia,6022.21617939574,4854.59227181423
Mali,879.008010446655,797.522531641287
Malta,29737.2459818839,
Myanmar,1407.81314341043,1269.08608574232
Middle East & North Africa (excluding high income),,
Montenegro,8910.49593423682,7628.6844826724
Mongolia,4339.84327925027,3151.47045230529
Northern Mariana Islands,,
Mozambique,503.570772675202,381.872204771215
Mauritania,1679.44487300408,1408.71831431979
Mauritius,11099.2402835688,11071.0544858123
Malawi,411.552340423602,363.078333539596
Malaysia,11414.2069765208,8223.63173332568
North America,63343.3450484173,53639.2991408949
Namibia,4957.45822226408,4201.80513760231
New Caledonia,,
Niger,553.89505038138,526.353057560148
Nigeria,2229.85869624463,1779.18858321217
Nicaragua,1912.90374537869,1718.55627271992
Netherlands,52295.0390498713,43778.1493082753
Norway,75419.6348688089,60776.1303711873
Nepal,1071.05076055404,1009.0431159297
Nauru,9396.98196681072,
New Zealand,41557.8024107675,34344.5709703326
OECD members,39482.1385672839,32803.3050798271
Oman,15343.0620043106,9188.77270661933
Other small states,13777.9165588315,10641.800691331
Pakistan,1284.70204090039,1186.30910393785
Panama,15731.0160348471,13274.4401274559
Peru,6977.69578355382,5955.76503303341
Philippines,3485.08421835861,3471.84008659025
Palau,14901.9835314079,
Papua New Guinea,2829.17030896837,2338.57590876523
Poland,15694.7386279643,13254.815704081
Pre-demographic dividend,1485.64958462252,1184.47306288183
Puerto Rico,32873.7192730424,
"Korea, Dem. People's Rep.",,
Portugal,23213.9781989813,18590.6191907488
Paraguay,5414.79913793258,4885.12071803348
West Bank and Gaza,,
Pacific island small states,4264.66741440106,3722.18321076966
Post-demographic dividend,45615.1151814217,37955.3030570632
French Polynesia,,
Qatar,62088.0618276987,45338.2357387767
Romania,12913.0739557854,10876.7402680752
Russian Federation,11584.9953826104,
Rwanda,820.025241658159,666.47858055851
South Asia,1956.57592140193,1724.54861660351
Saudi Arabia,23139.7986561214,19160.0947735815
Sudan,441.505603374484,
Senegal,1446.83096499408,1276.67963056952
Singapore,65233.2824392302,48343.5972511389
Solomon Islands,2373.63247042576,1974.36793855368
Sierra Leone,527.533634399111,476.376823559766
El Salvador,4187.2500311069,3398.07490811973
San Marino,,
Somalia,,
Serbia,7411.55864879005,5770.76775226334
Sub-Saharan Africa (excluding high income),1583.92606891839,1275.0994347241
South Sudan,,
Sub-Saharan Africa,1596.21373862471,1287.49612915478
Small states,12615.2034889624,9916.73332562462
Sao Tome and Principe,1946.64361370086,1455.67267761033
Suriname,6359.83361442737,4611.48023923375
Slovak Republic,19266.0141007811,15649.8712377711
Slovenia,25940.728030936,20746.3207024567
Sweden,51647.9915583251,43998.417054382
Eswatini,3894.67980685427,2920.07376627441
Sint Maarten (Dutch part),,
Seychelles,17448.2702926831,14587.4332055692
Syrian Arab Republic,,
Turks and Caicos Islands,31353.3293184258,
Chad,709.540310138533,524.17546697722
East Asia & Pacific (IDA & IBRD countries),8278.07397457794,6789.43583827241
Europe & Central Asia (IDA & IBRD countries),9017.5389507441,7207.90573571115
Togo,679.290249091295,616.762655500011
Thailand,7806.74221105532,6069.01630763575
Tajikistan,870.787589323223,947.953453574228
Turkmenistan,,
Latin America & the Caribbean (IDA & IBRD countries),8702.13746386907,7300.66893999461
Timor-Leste,1560.50982160188,1418.534449777
Middle East & North Africa (IDA & IBRD countries),,
Tonga,4903.15290276599,4707.95108609204
South Asia (IDA & IBRD),1956.57592140193,1724.54861660351
Sub-Saharan Africa (IDA & IBRD countries),1596.21373862471,1287.49612915478
Trinidad and Tobago,17397.9817601543,14260.5168841778
Tunisia,3317.4535932122,3117.33638217057
Turkey,9126.56134585014,7585.03995809611
Tuvalu,4059.02999569444,
Tanzania,1122.12181047515,
Uganda,794.341077917102,669.373727140204
Ukraine,3659.03131229487,
Upper middle income,9013.74996360071,7360.10622211559
Uruguay,16190.126957465,13626.1762865068
United States,65297.517508274,55434.6544576264
Uzbekistan,1724.85654379271,1435.19396432147
St. Vincent and the Grenadines,7457.50950382514,6095.22781413513
"Venezuela, RB",,
British Virgin Islands,,
Virgin Islands (U.S.),,
Vietnam,2715.27603640721,2162.50078866859
Vanuatu,3115.35862043261,2862.23850894513
World,11433.2157212036,9483.45888686939
Samoa,4324.01401840457,3658.38494626809
Kosovo,4430.78494654972,
"Yemen, Rep.",774.334489816721,745.893154705334
South Africa,6001.4011214068,4862.22280639724
Zambia,1305.06325350544,1049.04181756426
Zimbabwe,1463.98591018054,1208.28028224789
