Country_Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4568380634672,37.2393866178361,6.42145007079648,-8.47042589037024,7.70504433045045,13.4417174179101,-9.45597909519054,-24.2542213157579,29.6558991716465,6.26210050689775,14.8568431910074,9.89970424540012,6.00055933497256,4.92096811185367,-2.74343773936185,-2.75989008383156,-4.76438254251684,-10.0185890989385,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29915361035459,5.64515635202403,0.577822875958176,-0.705349946583823,2.84044594289628,0.893148601590525,0.380862706109397,3.29973950685378,2.38489484979098,4.19536251474777,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70728139299815,2.39414356059375,6.60841225103709,5.97627110976715,9.5493273741327,5.06459560757008,6.73694009438479,-9.08787460050038,4.32282011233687,8.79670940903721,3.80254074124559,0.795457374149095,-0.749954908036571,-8.106723981511,-0.810142256812057,2.78860866474491,1.56015649704185,1.80153115596251,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.84271280466635,-0.52003030041439,0.00651315121641005,-5.9924614168192,1.92472929222556,-7.91614918649047,-8.09866587440914,-24.869486938852,-6.44460557697761,11.0347728986252,2.36526151616255,6.89505333435223,5.32551675724679,-9.10579101687719,0.281874150659462,6.7272699830032,-3.07249357268026,5.23867123309023,
Argentina,,,,,,,,,,,,8.4987479763188,-2.38296536028878,4.18496502473167,1.67563554128441,-1.54752843259445,-3.65499094546863,4.00189688671963,-6.73097268426199,5.23741378196412,2.30441862355812,-8.12724402865966,-8.70917475325821,3.4643757048328,0.495302728136807,-8.25989824355082,7.26255176211427,-0.31024831772649,-2.15895477210557,-14.4510786377602,-1.04644056602054,13.830332852356,12.6645152894941,3.89704892911948,3.56010360121928,-5.85894223481861,5.49684956078542,6.16035255118553,1.92281289890737,-6.71725598417828,-2.06949095825021,-5.95323670132976,-12.4252090296562,10.1749576096579,-2.0425005509599,6.3783047165318,19.9919846589917,11.2782818908942,4.71353604226665,-8.37109773173889,10.6292440527885,7.88577604184211,-2.66475207266905,0.864589653303113,-4.50189611726408,3.92454134155969,-2.81548896774662,4.58219842454758,-3.17778360436883,-6.52175628817902,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08773413128011,8.09586448591773,4.37049110393512,3.79896023091277,-0.247888844310111,8.99798696262228,15.4179122445353,20.485194418304,10.9639453751728,15.6077476631911,15.5236047006304,17.9027157116045,10.3886623602342,-21.3615894533122,1.90941782786247,2.77258924798754,12.7154480192969,2.9762191754259,0.769393146186758,-1.82105555249778,-1.85843315297849,10.0423233123538,2.99925482359083,5.94952753996245,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,0.157063953113322,4.41342797343989,5.26206338924129,0.817463737737143,2.70704537650117,0.148168020149967,0.921236872452823,0.140479389326259,0.936446292768295,2.42554173181493,3.19560671688284,0.455901090940358,-0.792921863129621,3.35494060846364,0.535133554456891,1.43161964248877,0.367563352782227,5.53431434497753,3.10005059430449,0.304386139162077,-1.79357684949532,-1.00258310443687,3.79165401069199,3.19904744877344,1.70272751116394,3.71432093246619,3.46368996105855,3.47235058992609,2.87753242969322,2.24695422611556,2.0143944142246,3.26289027600244,2.33665698989725,4.38738575999578,1.29067892544687,2.1751216860941,3.64785685479544,2.77510324034216,3.84536480510673,-0.63632747802869,4.77569218509714,3.957685269533,-0.648511205753593,-1.10420405991381,-1.36287070178783,-0.881494079229512,2.82118681564026,0.889324604796343,1.16164503750451,
Austria,,,,,,,,,,,,4.17050599682985,5.77194907707319,5.34431133442483,1.93345312603756,0.268862791575188,4.63929529785807,4.58916418108602,0.491566837428437,5.24440238134989,0.776281858180369,-1.04267466721836,1.86799748893125,3.78758438344991,0.156168147650519,2.08991124677596,2.57289130030959,1.80730552743123,3.85832682629734,3.50780850628938,3.62565213372048,1.79517361002954,0.990160296788602,-0.862574059164061,2.0437656320069,2.01637274490025,2.06496330192967,1.30756396822174,3.22658150717,1.72174471853775,3.43492003101922,-0.144887928534104,2.13630312471322,0.436253346096052,2.35939234323209,1.14229927538798,3.62661809780691,3.07563757172112,1.26550095263237,-5.3346055828375,1.66866135804608,1.17106296336951,-0.847817536367046,-0.816114338016746,0.101760568096125,-0.589657916425992,2.63741017844545,-0.382393768573849,1.66987631066873,2.09395117804453,
